industry,city,investment_type,founded_year,no_of_founders,amount_in_inr,city_tier,market_size_category
FinTech,Hyderabad,Pre-Seed,2013,2,1435047,Tier-2,Large
SaaS,Chennai,Pre-Seed,2020,1,962909,Tier-2,Large
AgriTech,Pune,Series A,2023,4,19810654,Tier-2,Small
AI,Hyderabad,Seed,2018,4,9834505,Tier-2,Large
Logistics,Delhi,Series A,2022,4,21258994,Tier-1,Medium
AgriTech,Noida,Series C,2019,3,349802919,Tier-2,Small
Logistics,Mumbai,Pre-Seed,2018,4,1528303,Tier-1,Medium
AgriTech,Mumbai,Pre-Seed,2022,2,1337666,Tier-1,Small
AgriTech,Chennai,Series A,2015,5,22226044,Tier-2,Small
FinTech,Chennai,Series B,2013,5,69798997,Tier-2,Large
EdTech,Delhi,Series A,2020,5,19364463,Tier-1,Small
FinTech,Mumbai,Seed,2017,4,9848521,Tier-1,Large
AgriTech,Mumbai,Series A,2016,2,25739719,Tier-1,Small
AI,Chennai,Pre-Seed,2015,3,1745503,Tier-2,Large
FinTech,Pune,Pre-Seed,2015,1,543773,Tier-2,Large
AgriTech,Mumbai,Series A,2018,3,47874903,Tier-1,Small
AgriTech,Chennai,Series B,2013,4,122605443,Tier-2,Small
FinTech,Bangalore,Seed,2023,2,7297734,Tier-1,Large
FinTech,Mumbai,Series A,2022,1,27827459,Tier-1,Large
AI,Hyderabad,Seed,2015,4,9826536,Tier-2,Large
Logistics,Noida,Seed,2011,2,6355599,Tier-2,Medium
FinTech,Delhi,Series B,2018,3,177804267,Tier-1,Large
E-commerce,Noida,Seed,2016,2,7837068,Tier-2,Large
SaaS,Chennai,Pre-Seed,2017,2,1261058,Tier-2,Large
E-commerce,Mumbai,Series A,2011,3,28689439,Tier-1,Large
AI,Mumbai,Series A,2021,5,41064578,Tier-1,Large
EdTech,Pune,Series A,2014,1,48928103,Tier-2,Small
E-commerce,Chennai,Series B,2023,3,197079717,Tier-2,Large
Logistics,Hyderabad,Seed,2018,1,5496130,Tier-2,Medium
AgriTech,Mumbai,Seed,2023,4,2397805,Tier-1,Small
SaaS,Bangalore,Series A,2022,4,17705894,Tier-1,Large
HealthTech,Delhi,Seed,2012,5,9218360,Tier-1,Medium
SaaS,Chennai,Series B,2016,5,165416881,Tier-2,Large
E-commerce,Mumbai,Series A,2022,3,49015654,Tier-1,Large
HealthTech,Noida,Series A,2014,3,42819501,Tier-2,Medium
AI,Pune,Series B,2015,1,108494377,Tier-2,Large
Logistics,Pune,Seed,2014,3,6838192,Tier-2,Medium
SaaS,Delhi,Series A,2015,5,41315797,Tier-1,Large
EdTech,Chennai,Series A,2018,5,46839495,Tier-2,Small
HealthTech,Chennai,Series B,2016,5,189627821,Tier-2,Medium
HealthTech,Chennai,Seed,2010,1,7473113,Tier-2,Medium
SaaS,Hyderabad,Seed,2018,3,5291387,Tier-2,Large
E-commerce,Bangalore,Pre-Seed,2011,3,1321451,Tier-1,Large
HealthTech,Pune,Series B,2023,1,64062534,Tier-2,Medium
AI,Chennai,Seed,2013,1,5182038,Tier-2,Large
SaaS,Hyderabad,Series A,2013,2,36191556,Tier-2,Large
AI,Chennai,Pre-Seed,2014,1,882288,Tier-2,Large
SaaS,Chennai,Series A,2019,3,18864958,Tier-2,Large
AI,Hyderabad,Pre-Seed,2013,3,1836970,Tier-2,Large
E-commerce,Bangalore,Series B,2017,5,112053627,Tier-1,Large
SaaS,Delhi,Series B,2018,5,178939665,Tier-1,Large
Logistics,Pune,Pre-Seed,2020,2,1634768,Tier-2,Medium
AgriTech,Mumbai,Series A,2023,1,47192407,Tier-1,Small
EdTech,Noida,Series A,2020,4,32441877,Tier-2,Small
E-commerce,Chennai,Series B,2021,2,136639577,Tier-2,Large
AI,Bangalore,Series A,2011,1,42151156,Tier-1,Large
Logistics,Pune,Series C,2021,3,672002128,Tier-2,Medium
SaaS,Mumbai,Seed,2018,2,9064600,Tier-1,Large
E-commerce,Chennai,Pre-Seed,2011,2,848454,Tier-2,Large
AI,Noida,Series A,2012,1,26593885,Tier-2,Large
FinTech,Mumbai,Series A,2015,3,37344925,Tier-1,Large
FinTech,Hyderabad,Seed,2022,1,6748002,Tier-2,Large
HealthTech,Noida,Pre-Seed,2018,3,1950260,Tier-2,Medium
EdTech,Pune,Series B,2016,3,71207111,Tier-2,Small
FinTech,Bangalore,Series A,2017,5,48322396,Tier-1,Large
AgriTech,Bangalore,Pre-Seed,2011,4,1048062,Tier-1,Small
AI,Pune,Series B,2022,5,131859816,Tier-2,Large
E-commerce,Delhi,Pre-Seed,2018,2,1109895,Tier-1,Large
SaaS,Delhi,Pre-Seed,2015,2,1231667,Tier-1,Large
E-commerce,Mumbai,Seed,2023,1,2220590,Tier-1,Large
HealthTech,Hyderabad,Series B,2012,1,150160063,Tier-2,Medium
Logistics,Mumbai,Series A,2011,1,20620819,Tier-1,Medium
E-commerce,Chennai,Seed,2021,5,9786321,Tier-2,Large
FinTech,Bangalore,Pre-Seed,2011,3,1276256,Tier-1,Large
E-commerce,Mumbai,Series A,2019,4,16835526,Tier-1,Large
FinTech,Mumbai,Series A,2018,2,32619416,Tier-1,Large
FinTech,Pune,Series C,2013,2,296500585,Tier-2,Large
EdTech,Noida,Series A,2017,1,38472138,Tier-2,Small
HealthTech,Bangalore,Pre-Seed,2020,5,1891520,Tier-1,Medium
AgriTech,Bangalore,Series A,2016,1,35809992,Tier-1,Small
AgriTech,Delhi,Seed,2014,5,4498492,Tier-1,Small
AI,Delhi,Series C,2020,3,511782782,Tier-1,Large
AgriTech,Bangalore,Pre-Seed,2013,1,1103580,Tier-1,Small
FinTech,Noida,Pre-Seed,2015,3,1510149,Tier-2,Large
SaaS,Mumbai,Seed,2022,2,8664674,Tier-1,Large
HealthTech,Chennai,Pre-Seed,2019,2,1916878,Tier-2,Medium
AI,Mumbai,Seed,2017,2,6083149,Tier-1,Large
AgriTech,Noida,Seed,2014,3,6341326,Tier-2,Small
AgriTech,Chennai,Seed,2011,1,4509599,Tier-2,Small
SaaS,Bangalore,Seed,2023,5,8928084,Tier-1,Large
E-commerce,Pune,Series B,2013,5,182091267,Tier-2,Large
HealthTech,Chennai,Seed,2020,1,7747182,Tier-2,Medium
SaaS,Delhi,Series B,2010,4,117828430,Tier-1,Large
AgriTech,Pune,Pre-Seed,2022,5,660625,Tier-2,Small
HealthTech,Noida,Seed,2018,5,3085922,Tier-2,Medium
HealthTech,Bangalore,Series A,2015,1,43528665,Tier-1,Medium
AgriTech,Noida,Seed,2016,1,3358849,Tier-2,Small
E-commerce,Hyderabad,Seed,2010,1,3217327,Tier-2,Large
E-commerce,Chennai,Series B,2014,4,116882114,Tier-2,Large
AgriTech,Chennai,Seed,2018,3,9351767,Tier-2,Small
HealthTech,Noida,Seed,2010,2,8851141,Tier-2,Medium
SaaS,Pune,Series A,2010,3,38863265,Tier-2,Large
EdTech,Hyderabad,Pre-Seed,2020,3,1120162,Tier-2,Small
FinTech,Hyderabad,Series A,2011,1,24572406,Tier-2,Large
E-commerce,Bangalore,Pre-Seed,2012,1,831493,Tier-1,Large
AgriTech,Pune,Pre-Seed,2023,1,1248309,Tier-2,Small
Logistics,Mumbai,Pre-Seed,2015,2,700047,Tier-1,Medium
EdTech,Hyderabad,Series B,2020,3,141338680,Tier-2,Small
E-commerce,Noida,Pre-Seed,2015,2,1717057,Tier-2,Large
Logistics,Chennai,Seed,2019,5,8429534,Tier-2,Medium
HealthTech,Hyderabad,Pre-Seed,2019,3,1379411,Tier-2,Medium
AgriTech,Noida,Seed,2023,2,2568803,Tier-2,Small
EdTech,Bangalore,Seed,2010,2,9932920,Tier-1,Small
AgriTech,Bangalore,Seed,2012,4,7492869,Tier-1,Small
SaaS,Chennai,Series A,2022,2,23658426,Tier-2,Large
SaaS,Chennai,Series B,2022,2,68484561,Tier-2,Large
AI,Chennai,Seed,2018,4,2061088,Tier-2,Large
FinTech,Mumbai,Pre-Seed,2017,2,1470819,Tier-1,Large
FinTech,Chennai,Series B,2020,3,106344895,Tier-2,Large
E-commerce,Pune,Series C,2018,1,261791689,Tier-2,Large
FinTech,Bangalore,Seed,2020,3,4290309,Tier-1,Large
AgriTech,Bangalore,Seed,2017,1,2262724,Tier-1,Small
AgriTech,Hyderabad,Pre-Seed,2018,4,1477995,Tier-2,Small
AI,Chennai,Seed,2016,2,7685418,Tier-2,Large
Logistics,Mumbai,Seed,2019,4,8775770,Tier-1,Medium
SaaS,Pune,Series C,2022,4,236395918,Tier-2,Large
Logistics,Delhi,Pre-Seed,2023,4,1155821,Tier-1,Medium
Logistics,Hyderabad,Seed,2018,3,5136694,Tier-2,Medium
EdTech,Pune,Series A,2012,4,26371074,Tier-2,Small
EdTech,Noida,Seed,2015,2,6461705,Tier-2,Small
SaaS,Mumbai,Seed,2015,5,8371113,Tier-1,Large
HealthTech,Chennai,Series C,2023,4,749386488,Tier-2,Medium
SaaS,Mumbai,Seed,2022,1,6803649,Tier-1,Large
EdTech,Delhi,Series B,2010,2,88401673,Tier-1,Small
Logistics,Pune,Pre-Seed,2021,2,1442577,Tier-2,Medium
E-commerce,Mumbai,Pre-Seed,2022,5,1559240,Tier-1,Large
AI,Noida,Series B,2023,2,127239864,Tier-2,Large
Logistics,Delhi,Pre-Seed,2021,2,1380495,Tier-1,Medium
SaaS,Delhi,Series A,2020,4,34624177,Tier-1,Large
HealthTech,Pune,Seed,2019,5,8237383,Tier-2,Medium
Logistics,Delhi,Seed,2019,4,3872007,Tier-1,Medium
E-commerce,Pune,Series A,2016,5,27133263,Tier-2,Large
SaaS,Mumbai,Series A,2012,5,12619787,Tier-1,Large
E-commerce,Noida,Series B,2021,4,98622298,Tier-2,Large
Logistics,Chennai,Seed,2023,2,4898716,Tier-2,Medium
SaaS,Bangalore,Series A,2011,3,28117598,Tier-1,Large
E-commerce,Bangalore,Seed,2016,4,4545817,Tier-1,Large
AgriTech,Mumbai,Series A,2023,5,14965769,Tier-1,Small
FinTech,Chennai,Pre-Seed,2019,4,1485966,Tier-2,Large
E-commerce,Bangalore,Seed,2013,2,6903608,Tier-1,Large
AgriTech,Noida,Pre-Seed,2016,3,704594,Tier-2,Small
Logistics,Delhi,Seed,2010,2,7737240,Tier-1,Medium
FinTech,Mumbai,Series A,2019,5,38179504,Tier-1,Large
EdTech,Mumbai,Pre-Seed,2017,5,1461097,Tier-1,Small
FinTech,Hyderabad,Series A,2011,5,13000803,Tier-2,Large
E-commerce,Hyderabad,Seed,2017,5,5123598,Tier-2,Large
AI,Hyderabad,Pre-Seed,2017,3,977225,Tier-2,Large
AI,Pune,Seed,2018,3,2794594,Tier-2,Large
EdTech,Chennai,Series B,2013,5,70024565,Tier-2,Small
E-commerce,Mumbai,Series C,2021,4,282647316,Tier-1,Large
FinTech,Hyderabad,Seed,2010,1,6771866,Tier-2,Large
AI,Mumbai,Pre-Seed,2019,4,1066351,Tier-1,Large
SaaS,Delhi,Pre-Seed,2017,4,1385822,Tier-1,Large
HealthTech,Hyderabad,Series A,2018,5,16310066,Tier-2,Medium
E-commerce,Mumbai,Series A,2020,3,27145833,Tier-1,Large
AgriTech,Chennai,Seed,2023,3,4160200,Tier-2,Small
AgriTech,Pune,Seed,2018,4,6395178,Tier-2,Small
SaaS,Noida,Series B,2015,4,152162217,Tier-2,Large
SaaS,Chennai,Seed,2017,4,2811082,Tier-2,Large
E-commerce,Chennai,Series A,2017,5,46863941,Tier-2,Large
HealthTech,Noida,Seed,2014,2,2255335,Tier-2,Medium
AI,Hyderabad,Series A,2013,1,34215834,Tier-2,Large
HealthTech,Chennai,Seed,2019,5,2310845,Tier-2,Medium
EdTech,Pune,Seed,2019,1,9370098,Tier-2,Small
FinTech,Bangalore,Series A,2020,2,46097549,Tier-1,Large
FinTech,Pune,Seed,2011,2,4917334,Tier-2,Large
SaaS,Delhi,Seed,2012,5,5660280,Tier-1,Large
AI,Pune,Seed,2020,3,4351415,Tier-2,Large
HealthTech,Mumbai,Series C,2021,3,541582849,Tier-1,Medium
SaaS,Bangalore,Series B,2012,1,55290344,Tier-1,Large
E-commerce,Hyderabad,Seed,2021,3,5055975,Tier-2,Large
SaaS,Mumbai,Pre-Seed,2015,4,1920163,Tier-1,Large
E-commerce,Noida,Pre-Seed,2016,4,1721573,Tier-2,Large
E-commerce,Pune,Series B,2015,2,151499333,Tier-2,Large
EdTech,Mumbai,Series B,2020,5,154207802,Tier-1,Small
EdTech,Chennai,Pre-Seed,2023,3,576447,Tier-2,Small
E-commerce,Mumbai,Series A,2010,2,33175210,Tier-1,Large
Logistics,Mumbai,Series A,2016,4,45159278,Tier-1,Medium
AI,Pune,Seed,2021,3,5357645,Tier-2,Large
EdTech,Delhi,Seed,2022,3,2188060,Tier-1,Small
EdTech,Noida,Series A,2018,5,22669312,Tier-2,Small
FinTech,Pune,Pre-Seed,2017,3,1301886,Tier-2,Large
SaaS,Hyderabad,Pre-Seed,2020,3,818847,Tier-2,Large
FinTech,Noida,Pre-Seed,2014,5,1129372,Tier-2,Large
AI,Bangalore,Series B,2013,1,108261795,Tier-1,Large
EdTech,Chennai,Series A,2014,3,35506016,Tier-2,Small
AgriTech,Delhi,Seed,2022,5,9272282,Tier-1,Small
Logistics,Bangalore,Series A,2012,2,45032192,Tier-1,Medium
EdTech,Bangalore,Series C,2018,2,284797468,Tier-1,Small
HealthTech,Noida,Pre-Seed,2014,4,1587437,Tier-2,Medium
AI,Delhi,Pre-Seed,2016,5,901112,Tier-1,Large
AgriTech,Chennai,Seed,2016,3,6442565,Tier-2,Small
SaaS,Hyderabad,Series B,2010,2,66837919,Tier-2,Large
SaaS,Delhi,Seed,2015,3,3614465,Tier-1,Large
AgriTech,Delhi,Series A,2022,5,35689950,Tier-1,Small
SaaS,Delhi,Pre-Seed,2013,2,1216515,Tier-1,Large
Logistics,Chennai,Seed,2012,4,9629967,Tier-2,Medium
AgriTech,Delhi,Pre-Seed,2022,2,1775600,Tier-1,Small
AI,Delhi,Seed,2012,4,8734387,Tier-1,Large
AgriTech,Mumbai,Seed,2023,5,7575168,Tier-1,Small
AgriTech,Mumbai,Seed,2015,1,8959767,Tier-1,Small
HealthTech,Mumbai,Series A,2010,5,18908832,Tier-1,Medium
HealthTech,Mumbai,Series B,2014,4,150676746,Tier-1,Medium
FinTech,Delhi,Seed,2013,3,3657405,Tier-1,Large
AI,Noida,Series A,2019,2,42870655,Tier-2,Large
AI,Mumbai,Series B,2017,2,186442670,Tier-1,Large
HealthTech,Bangalore,Pre-Seed,2018,4,1493289,Tier-1,Medium
E-commerce,Noida,Series A,2017,2,42251952,Tier-2,Large
E-commerce,Hyderabad,Series A,2016,4,17312263,Tier-2,Large
FinTech,Mumbai,Seed,2012,3,9868828,Tier-1,Large
Logistics,Chennai,Pre-Seed,2017,1,526379,Tier-2,Medium
E-commerce,Hyderabad,Seed,2010,5,4951282,Tier-2,Large
E-commerce,Pune,Series A,2013,3,31316261,Tier-2,Large
E-commerce,Pune,Pre-Seed,2023,3,1316204,Tier-2,Large
Logistics,Bangalore,Seed,2012,2,3234380,Tier-1,Medium
EdTech,Hyderabad,Series A,2020,2,27679342,Tier-2,Small
FinTech,Hyderabad,Seed,2012,1,4244175,Tier-2,Large
HealthTech,Bangalore,Pre-Seed,2011,4,1106803,Tier-1,Medium
E-commerce,Pune,Seed,2016,4,5276945,Tier-2,Large
SaaS,Mumbai,Series C,2023,3,473794241,Tier-1,Large
AgriTech,Bangalore,Seed,2023,3,4213968,Tier-1,Small
EdTech,Chennai,Seed,2019,2,9482687,Tier-2,Small
Logistics,Bangalore,Pre-Seed,2012,4,1067782,Tier-1,Medium
Logistics,Delhi,Seed,2016,1,2209102,Tier-1,Medium
Logistics,Pune,Series A,2011,3,46897920,Tier-2,Medium
E-commerce,Delhi,Series C,2012,2,310467684,Tier-1,Large
AgriTech,Pune,Series A,2021,5,13317188,Tier-2,Small
AgriTech,Pune,Seed,2012,5,3303486,Tier-2,Small
EdTech,Hyderabad,Seed,2016,5,6512715,Tier-2,Small
FinTech,Mumbai,Pre-Seed,2019,5,1320875,Tier-1,Large
Logistics,Mumbai,Pre-Seed,2013,3,1705391,Tier-1,Medium
SaaS,Pune,Series A,2021,4,35014669,Tier-2,Large
SaaS,Pune,Seed,2019,4,3984242,Tier-2,Large
SaaS,Delhi,Pre-Seed,2016,4,792190,Tier-1,Large
Logistics,Chennai,Seed,2012,1,9582007,Tier-2,Medium
E-commerce,Bangalore,Seed,2019,1,9433017,Tier-1,Large
EdTech,Pune,Series A,2018,4,21156852,Tier-2,Small
Logistics,Pune,Seed,2011,3,4124549,Tier-2,Medium
SaaS,Bangalore,Series A,2021,5,43224815,Tier-1,Large
AgriTech,Bangalore,Series A,2020,5,24309762,Tier-1,Small
Logistics,Chennai,Pre-Seed,2022,4,747119,Tier-2,Medium
AgriTech,Chennai,Series C,2012,2,252870815,Tier-2,Small
AI,Bangalore,Pre-Seed,2021,3,525368,Tier-1,Large
Logistics,Pune,Seed,2015,2,3197957,Tier-2,Medium
AI,Pune,Series B,2020,2,53673202,Tier-2,Large
EdTech,Bangalore,Pre-Seed,2021,3,787470,Tier-1,Small
Logistics,Pune,Seed,2022,3,6394955,Tier-2,Medium
E-commerce,Chennai,Series B,2015,1,81699955,Tier-2,Large
E-commerce,Bangalore,Series A,2015,1,37369508,Tier-1,Large
FinTech,Chennai,Seed,2019,5,5225531,Tier-2,Large
FinTech,Pune,Series A,2017,1,24966220,Tier-2,Large
SaaS,Pune,Series B,2017,2,114648794,Tier-2,Large
HealthTech,Hyderabad,Seed,2015,3,8479929,Tier-2,Medium
AgriTech,Delhi,Series A,2017,5,44307679,Tier-1,Small
FinTech,Delhi,Series C,2010,1,674394658,Tier-1,Large
E-commerce,Noida,Series C,2016,5,730359505,Tier-2,Large
AgriTech,Chennai,Seed,2012,4,2319762,Tier-2,Small
HealthTech,Bangalore,Pre-Seed,2022,1,1118312,Tier-1,Medium
FinTech,Delhi,Series A,2012,5,42330291,Tier-1,Large
EdTech,Pune,Seed,2018,3,7142712,Tier-2,Small
AI,Mumbai,Series A,2010,2,18363315,Tier-1,Large
FinTech,Bangalore,Seed,2018,3,3431180,Tier-1,Large
Logistics,Chennai,Series A,2014,4,17360181,Tier-2,Medium
FinTech,Pune,Seed,2023,1,9144796,Tier-2,Large
Logistics,Pune,Series B,2018,4,142981008,Tier-2,Medium
EdTech,Mumbai,Pre-Seed,2010,2,1589542,Tier-1,Small
E-commerce,Chennai,Pre-Seed,2015,1,1626546,Tier-2,Large
SaaS,Noida,Series A,2010,1,11881418,Tier-2,Large
EdTech,Bangalore,Seed,2010,2,7427881,Tier-1,Small
SaaS,Pune,Seed,2023,4,2317831,Tier-2,Large
FinTech,Noida,Series B,2014,3,75137767,Tier-2,Large
E-commerce,Hyderabad,Series A,2020,2,15691855,Tier-2,Large
HealthTech,Pune,Series A,2022,5,44846877,Tier-2,Medium
FinTech,Hyderabad,Pre-Seed,2023,3,920519,Tier-2,Large
EdTech,Hyderabad,Series A,2014,1,17367553,Tier-2,Small
HealthTech,Bangalore,Seed,2010,2,4313189,Tier-1,Medium
AI,Bangalore,Seed,2011,2,8793595,Tier-1,Large
HealthTech,Mumbai,Series B,2023,5,142848707,Tier-1,Medium
EdTech,Pune,Seed,2012,4,2532271,Tier-2,Small
AgriTech,Bangalore,Series C,2012,5,303005290,Tier-1,Small
HealthTech,Bangalore,Series A,2016,5,34103309,Tier-1,Medium
EdTech,Mumbai,Series A,2011,4,27824049,Tier-1,Small
AgriTech,Mumbai,Series A,2012,1,45133700,Tier-1,Small
FinTech,Pune,Seed,2023,2,7548498,Tier-2,Large
AgriTech,Noida,Pre-Seed,2010,3,1813384,Tier-2,Small
E-commerce,Chennai,Pre-Seed,2010,1,1130575,Tier-2,Large
AI,Delhi,Pre-Seed,2010,1,1420546,Tier-1,Large
AgriTech,Pune,Series C,2010,1,454401664,Tier-2,Small
E-commerce,Delhi,Seed,2013,3,7747570,Tier-1,Large
E-commerce,Chennai,Series A,2010,2,28640439,Tier-2,Large
E-commerce,Hyderabad,Series A,2013,1,37707658,Tier-2,Large
AgriTech,Noida,Series A,2015,5,44663945,Tier-2,Small
EdTech,Pune,Series A,2012,3,38531408,Tier-2,Small
Logistics,Bangalore,Seed,2012,4,5669094,Tier-1,Medium
EdTech,Mumbai,Series B,2021,2,116307941,Tier-1,Small
AI,Pune,Series B,2020,5,119414690,Tier-2,Large
EdTech,Mumbai,Series A,2014,3,43805187,Tier-1,Small
SaaS,Hyderabad,Series B,2019,3,83093629,Tier-2,Large
EdTech,Mumbai,Pre-Seed,2022,4,1563947,Tier-1,Small
EdTech,Hyderabad,Pre-Seed,2021,3,845562,Tier-2,Small
EdTech,Noida,Series A,2011,2,10822513,Tier-2,Small
FinTech,Chennai,Series B,2023,5,146079865,Tier-2,Large
AI,Hyderabad,Seed,2013,3,9280527,Tier-2,Large
SaaS,Delhi,Seed,2010,4,8488793,Tier-1,Large
EdTech,Pune,Pre-Seed,2019,2,783716,Tier-2,Small
Logistics,Hyderabad,Series C,2021,3,553882417,Tier-2,Medium
AI,Pune,Series A,2018,1,31487824,Tier-2,Large
HealthTech,Chennai,Seed,2012,1,5893685,Tier-2,Medium
FinTech,Noida,Series C,2017,4,313648207,Tier-2,Large
AgriTech,Hyderabad,Pre-Seed,2013,1,990027,Tier-2,Small
Logistics,Chennai,Seed,2015,1,6867085,Tier-2,Medium
EdTech,Delhi,Pre-Seed,2019,2,922602,Tier-1,Small
Logistics,Noida,Seed,2020,2,8949940,Tier-2,Medium
SaaS,Bangalore,Pre-Seed,2013,5,1636227,Tier-1,Large
FinTech,Chennai,Seed,2013,5,8653615,Tier-2,Large
SaaS,Bangalore,Series B,2020,5,193289462,Tier-1,Large
AgriTech,Chennai,Seed,2023,2,6226451,Tier-2,Small
AgriTech,Noida,Seed,2015,2,5455221,Tier-2,Small
Logistics,Hyderabad,Series A,2017,2,44258398,Tier-2,Medium
FinTech,Bangalore,Series A,2018,1,28635391,Tier-1,Large
HealthTech,Noida,Series C,2011,5,570999697,Tier-2,Medium
Logistics,Chennai,Seed,2015,1,5747521,Tier-2,Medium
AI,Pune,Series A,2010,5,49537496,Tier-2,Large
FinTech,Chennai,Seed,2016,4,6190541,Tier-2,Large
E-commerce,Bangalore,Pre-Seed,2019,1,1389029,Tier-1,Large
AgriTech,Pune,Seed,2012,5,4990065,Tier-2,Small
HealthTech,Noida,Seed,2018,3,5864871,Tier-2,Medium
Logistics,Chennai,Seed,2015,4,9930013,Tier-2,Medium
AgriTech,Bangalore,Series A,2022,1,17570198,Tier-1,Small
E-commerce,Delhi,Seed,2022,1,3552930,Tier-1,Large
HealthTech,Mumbai,Series C,2021,3,351632811,Tier-1,Medium
AgriTech,Delhi,Series C,2018,2,551313841,Tier-1,Small
E-commerce,Bangalore,Seed,2015,3,2864663,Tier-1,Large
E-commerce,Hyderabad,Series A,2013,2,29348384,Tier-2,Large
AgriTech,Hyderabad,Seed,2015,1,4233416,Tier-2,Small
Logistics,Mumbai,Seed,2010,2,5629689,Tier-1,Medium
AgriTech,Bangalore,Series C,2019,3,587003223,Tier-1,Small
SaaS,Pune,Pre-Seed,2017,5,1743025,Tier-2,Large
FinTech,Chennai,Seed,2019,4,9514476,Tier-2,Large
FinTech,Delhi,Pre-Seed,2017,1,1901318,Tier-1,Large
HealthTech,Pune,Series A,2012,4,42797532,Tier-2,Medium
AI,Noida,Pre-Seed,2014,3,1146665,Tier-2,Large
AgriTech,Delhi,Series B,2014,4,101223547,Tier-1,Small
Logistics,Mumbai,Seed,2012,5,3468524,Tier-1,Medium
SaaS,Mumbai,Series B,2020,5,179274477,Tier-1,Large
FinTech,Noida,Series C,2020,5,669925338,Tier-2,Large
FinTech,Mumbai,Series A,2015,3,17291259,Tier-1,Large
Logistics,Noida,Series A,2020,5,26909452,Tier-2,Medium
SaaS,Pune,Pre-Seed,2018,1,1079085,Tier-2,Large
EdTech,Pune,Series B,2020,5,87544926,Tier-2,Small
SaaS,Mumbai,Series A,2021,3,19409567,Tier-1,Large
Logistics,Pune,Seed,2012,5,4246681,Tier-2,Medium
FinTech,Mumbai,Seed,2018,4,7094450,Tier-1,Large
AI,Pune,Pre-Seed,2022,5,609347,Tier-2,Large
EdTech,Mumbai,Series A,2017,3,17456121,Tier-1,Small
Logistics,Chennai,Pre-Seed,2014,4,1575187,Tier-2,Medium
Logistics,Chennai,Series A,2022,2,38648039,Tier-2,Medium
E-commerce,Noida,Series A,2018,1,20889108,Tier-2,Large
SaaS,Delhi,Seed,2016,5,2557196,Tier-1,Large
E-commerce,Noida,Series B,2012,3,127265551,Tier-2,Large
EdTech,Delhi,Series A,2019,1,14692532,Tier-1,Small
EdTech,Noida,Seed,2022,4,4860701,Tier-2,Small
EdTech,Mumbai,Series B,2022,3,100019225,Tier-1,Small
HealthTech,Delhi,Series B,2011,5,125990378,Tier-1,Medium
SaaS,Pune,Series A,2020,5,12142559,Tier-2,Large
Logistics,Mumbai,Pre-Seed,2014,2,1438155,Tier-1,Medium
AgriTech,Chennai,Seed,2012,1,4313567,Tier-2,Small
AI,Hyderabad,Series B,2021,5,183940305,Tier-2,Large
AI,Chennai,Series A,2019,4,35339870,Tier-2,Large
Logistics,Bangalore,Seed,2018,4,2379623,Tier-1,Medium
E-commerce,Chennai,Series C,2020,4,638738680,Tier-2,Large
Logistics,Bangalore,Pre-Seed,2019,4,1431008,Tier-1,Medium
E-commerce,Delhi,Pre-Seed,2016,1,617964,Tier-1,Large
AgriTech,Chennai,Series B,2019,2,90298929,Tier-2,Small
E-commerce,Hyderabad,Pre-Seed,2019,2,1780176,Tier-2,Large
SaaS,Pune,Seed,2017,3,3133447,Tier-2,Large
FinTech,Chennai,Series B,2015,1,86905550,Tier-2,Large
E-commerce,Pune,Series A,2018,3,25931979,Tier-2,Large
EdTech,Chennai,Series A,2015,5,16618541,Tier-2,Small
E-commerce,Chennai,Series A,2022,3,23946043,Tier-2,Large
EdTech,Pune,Seed,2021,4,2560274,Tier-2,Small
HealthTech,Pune,Seed,2022,2,5075439,Tier-2,Medium
FinTech,Mumbai,Series A,2012,2,13066745,Tier-1,Large
FinTech,Chennai,Seed,2011,2,6649230,Tier-2,Large
AgriTech,Chennai,Series A,2022,1,34598865,Tier-2,Small
SaaS,Hyderabad,Seed,2010,4,8141892,Tier-2,Large
Logistics,Pune,Pre-Seed,2018,3,955404,Tier-2,Medium
SaaS,Pune,Pre-Seed,2023,5,629470,Tier-2,Large
AI,Bangalore,Seed,2015,1,5601195,Tier-1,Large
HealthTech,Bangalore,Series B,2013,5,92708409,Tier-1,Medium
AgriTech,Pune,Seed,2014,1,8709414,Tier-2,Small
SaaS,Hyderabad,Pre-Seed,2023,4,804233,Tier-2,Large
EdTech,Delhi,Pre-Seed,2017,1,1964828,Tier-1,Small
HealthTech,Chennai,Seed,2023,5,7817263,Tier-2,Medium
FinTech,Delhi,Pre-Seed,2010,1,709224,Tier-1,Large
Logistics,Hyderabad,Pre-Seed,2023,4,1906236,Tier-2,Medium
Logistics,Delhi,Series A,2017,2,20890269,Tier-1,Medium
EdTech,Bangalore,Series A,2016,1,31111119,Tier-1,Small
AgriTech,Mumbai,Series B,2018,5,131507352,Tier-1,Small
AgriTech,Delhi,Series B,2023,5,64604638,Tier-1,Small
HealthTech,Mumbai,Seed,2013,1,8361561,Tier-1,Medium
FinTech,Delhi,Series A,2020,4,26905626,Tier-1,Large
SaaS,Hyderabad,Series A,2014,3,20713373,Tier-2,Large
EdTech,Mumbai,Pre-Seed,2017,2,1333191,Tier-1,Small
EdTech,Delhi,Seed,2012,4,4867148,Tier-1,Small
FinTech,Hyderabad,Pre-Seed,2019,3,1880124,Tier-2,Large
